date,description,type,amount,category,month,is_credit,is_debit
2026-01-01,Restaurant,debit,543,Dining,2026-01,False,True
2026-01-02,Online Shopping,debit,10633,Shopping,2026-01,False,True
2026-01-03,Salary Credit,credit,66661,Salary,2026-01,True,False
2026-01-04,Salary Credit,credit,65006,Salary,2026-01,True,False
2026-01-05,Restaurant,debit,4162,Dining,2026-01,False,True
2026-01-06,Online Shopping,debit,11503,Shopping,2026-01,False,True
2026-01-07,Salary Credit,credit,76889,Salary,2026-01,True,False
2026-01-08,Online Shopping,debit,7375,Shopping,2026-01,False,True
2026-01-09,Weekend Trip,debit,8481,Travel,2026-01,False,True
2026-01-10,Credit Card Payment,debit,14522,Credit Card Payment,2026-01,False,True
2026-01-11,Overdraft Fee,debit,922,Bank Charges,2026-01,False,True
2026-01-12,Gadget Purchase,debit,12925,Luxury Spending,2026-01,False,True
2026-01-13,Credit Card Payment,debit,15869,Credit Card Payment,2026-01,False,True
2026-01-14,Gadget Purchase,debit,14990,Luxury Spending,2026-01,False,True
2026-01-15,Cash Withdrawal,debit,2294,ATM Withdrawal,2026-01,False,True
2026-01-16,Credit Card Payment,debit,15962,Credit Card Payment,2026-01,False,True
2026-01-17,Credit Card Payment,debit,7779,Credit Card Payment,2026-01,False,True
2026-01-18,Credit Card Payment,debit,8672,Credit Card Payment,2026-01,False,True
2026-01-19,Online Shopping,debit,8446,Shopping,2026-01,False,True
2026-01-20,Credit Card Payment,debit,18374,Credit Card Payment,2026-01,False,True
2026-01-21,Credit Card Payment,debit,13979,Credit Card Payment,2026-01,False,True
2026-01-22,Credit Card Payment,debit,11459,Credit Card Payment,2026-01,False,True
2026-01-23,Online Shopping,debit,4350,Shopping,2026-01,False,True
2026-01-24,,,187490,Other,2026-01,False,False
2026-01-25,Credit Card Payment,credit,57425,Credit Card Payment,2026-01,True,False
2026-01-26,Online Shopping,debit,11896,Shopping,2026-01,False,True
2026-01-27,Online Shopping,debit,7969,Shopping,2026-01,False,True
2026-01-28,Online Shopping,debit,7478,Shopping,2026-01,False,True
2026-01-29,Overdraft Fee,debit,1087,Bank Charges,2026-01,False,True
2026-01-30,Online Shopping,debit,11879,Shopping,2026-01,False,True
2026-01-31,Online Shopping,debit,9917,Shopping,2026-01,False,True
