date,description,type,amount,category,month,is_credit,is_debit
2026-01-01,SIP Investment,credit,11736,Investments,2026-01,True,False
2026-01-02,Emergency Fund Transfer,debit,7562,Bank Transfer,2026-01,False,True
2026-01-03,Salary Credit,credit,125345,Salary,2026-01,True,False
2026-01-04,Salary Credit,credit,87032,Salary,2026-01,True,False
2026-01-05,Salary Credit,credit,91730,Salary,2026-01,True,False
2026-01-06,SIP Investment,credit,7369,Investments,2026-01,True,False
2026-01-07,Emergency Fund Transfer,debit,7606,Bank Transfer,2026-01,False,True
2026-01-08,Dividend Credit,credit,427,Dividend Income,2026-01,True,False
2026-01-09,SIP Investment,credit,11860,Investments,2026-01,True,False
2026-01-10,Index Fund Purchase,debit,8282,Investments,2026-01,False,True
2026-01-11,Salary Credit,credit,110078,Salary,2026-01,True,False
2026-01-12,Index Fund Purchase,debit,4098,Investments,2026-01,False,True
2026-01-13,Emergency Fund Transfer,debit,2165,Bank Transfer,2026-01,False,True
2026-01-14,Index Fund Purchase,debit,5210,Investments,2026-01,False,True
2026-01-15,SIP Investment,debit,9240,Investments,2026-01,False,True
2026-01-16,Groceries,debit,3162,Groceries,2026-01,False,True
2026-01-17,Groceries,debit,2290,Groceries,2026-01,False,True
2026-01-18,Salary Credit,credit,135074,Salary,2026-01,True,False
2026-01-19,SIP Investment,debit,9041,Investments,2026-01,False,True
2026-01-20,Salary Credit,credit,142671,Salary,2026-01,True,False
2026-01-21,SIP Investment,debit,10399,Investments,2026-01,False,True
2026-01-22,Emergency Fund Transfer,debit,5322,Bank Transfer,2026-01,False,True
2026-01-23,Groceries,debit,1286,Groceries,2026-01,False,True
2026-01-24,,,0,Other,2026-01,False,False
2026-01-25,Index Fund Purchase,debit,3070,Investments,2026-01,False,True
2026-01-26,Emergency Fund Transfer,credit,2870,Bank Transfer,2026-01,True,False
2026-01-27,Groceries,debit,1880,Groceries,2026-01,False,True
2026-01-28,SIP Investment,credit,4366,Investments,2026-01,True,False
2026-01-29,Dining,debit,550,Dining,2026-01,False,True
2026-01-30,Emergency Fund Transfer,credit,5466,Bank Transfer,2026-01,True,False
2026-01-31,Groceries,debit,2374,Groceries,2026-01,False,True
2026-02-01,SIP Investment,credit,4065,Investments,2026-02,True,False
2026-02-02,Groceries,debit,879,Groceries,2026-02,False,True
2026-02-03,Groceries,debit,1108,Groceries,2026-02,False,True
2026-02-04,Dining,debit,351,Dining,2026-02,False,True
2026-02-05,Index Fund Purchase,debit,8054,Investments,2026-02,False,True
2026-02-05,SIP Investment,credit,4644,Investments,2026-02,True,False
2026-02-06,SIP Investment,debit,9902,Investments,2026-02,False,True
2026-02-07,Salary Credit,credit,118504,Salary,2026-02,True,False
2026-02-08,Dining,debit,486,Dining,2026-02,False,True
2026-02-09,Index Fund Purchase,debit,5913,Investments,2026-02,False,True
2026-02-10,Groceries,debit,1540,Groceries,2026-02,False,True
2026-02-11,Index Fund Purchase,debit,8133,Investments,2026-02,False,True
2026-02-12,Index Fund Purchase,debit,5210,Investments,2026-02,False,True
2026-02-13,Dividend Credit,credit,1441,Dividend Income,2026-02,True,False
2026-02-14,Groceries,debit,937,Groceries,2026-02,False,True
2026-02-15,Emergency Fund Transfer,debit,4660,Bank Transfer,2026-02,False,True
2026-02-16,Salary Credit,credit,102743,Salary,2026-02,True,False
2026-02-17,SIP Investment,debit,9343,Investments,2026-02,False,True
2026-02-18,SIP Investment,debit,0,Investments,2026-02,False,True
2026-02-19,Groceries,debit,1072,Groceries,2026-02,False,True
2026-02-20,Groceries,debit,1328,Groceries,2026-02,False,True
2026-02-21,SIP Investment,credit,8487,Investments,2026-02,True,False
2026-02-22,Dining,debit,694,Dining,2026-02,False,True
2026-02-23,Rent,debit,21389,Rent,2026-02,False,True
2026-02-24,Groceries,debit,936,Groceries,2026-02,False,True
2026-02-25,SIP Investment,credit,6814,Investments,2026-02,True,False
2026-02-26,Index Fund Purchase,credit,4516,Investments,2026-02,True,False
2026-02-27,Index Fund Purchase,credit,7309,Investments,2026-02,True,False
2026-02-28,Groceries,debit,2270,Groceries,2026-02,False,True
2026-03-01,Dining,debit,1114,Dining,2026-03,False,True
2026-03-02,Dining,debit,885,Dining,2026-03,False,True
2026-03-02,Dining,debit,1210,Dining,2026-03,False,True
2026-03-03,Emergency Fund Transfer,debit,7623,Bank Transfer,2026-03,False,True
2026-03-04,Groceries,debit,1309,Groceries,2026-03,False,True
2026-03-05,Dining,debit,334,Dining,2026-03,False,True
2026-03-06,Groceries,debit,1929,Groceries,2026-03,False,True
2026-03-07,Dining,debit,558,Dining,2026-03,False,True
2026-03-08,Dividend Credit,credit,1405,Dividend Income,2026-03,True,False
2026-03-09,Dividend Credit,credit,1646,Dividend Income,2026-03,True,False
2026-03-10,Groceries,debit,2149,Groceries,2026-03,False,True
2026-03-11,Rent,debit,25526,Rent,2026-03,False,True
2026-03-12,Groceries,debit,1970,Groceries,2026-03,False,True
2026-03-13,SIP Investment,debit,11525,Investments,2026-03,False,True
2026-03-14,SIP Investment,debit,9479,Investments,2026-03,False,True
2026-03-15,,,0,Other,2026-03,False,False
2026-03-16,Groceries,debit,1928,Groceries,2026-03,False,True
2026-03-17,Salary Credit,credit,93016,Salary,2026-03,True,False
2026-03-18,Groceries,debit,918,Groceries,2026-03,False,True
2026-03-19,SIP Investment,debit,5157,Investments,2026-03,False,True
2026-03-20,Index Fund Purchase,debit,7722,Investments,2026-03,False,True
2026-03-21,SIP Investment,debit,11976,Investments,2026-03,False,True
2026-03-22,SIP Investment,debit,9567,Investments,2026-03,False,True
